,Title,Artist,Lyrics
Not Gonna Die,Not Gonna Die,Skillet,"Death surrounds
My heartbeat’s slowing down
I won’t take this world’s abuse
I won’t give up, I refuse
This is how it feels when you’re bent and broken
This is how it feels when your dignity’s stolen
When everything you love is leaving
You hold on to what you believe in

The last thing I heard was you whispering goodbye
And then I heard you flatline
[Chorus: John Cooper & 
Jen Ledger
]
No, not gonna die tonight
We're gonna stand and fight forever
Don’t close your eyes
No, not gonna die tonight
We're gonna fight for us together
No, we’re not gonna die tonight

Break their hold
Because I won’t be controlled
They can’t keep their chains on me
When the truth has set me free
This is how it feels when you take your life back
This is how it feels when you finally fight back
When life pushes me I push harder
What doesn't kill me makes me stronger

The last thing I heard was you whispering goodbye
And then I heard you flatline
[Chorus: John Cooper & 
Jen Ledger
]
No, not gonna die tonight
We're gonna stand and fight forever
Don’t close your eyes
No, not gonna die tonight
We're gonna fight for us together
No, we’re not gonna die tonight

Don’t you give up on me
You’re everything I need
This is how it feels when you take your life back
This is how it feels when you fight back

[Chorus: John Cooper & 
Jen Ledger
]
No, not gonna die tonight
We're gonna stand and fight forever
Don’t close your eyes
No, not gonna die tonight
We're gonna fight for us together
No, we’re not gonna die tonight
[Ending: John Cooper & 
Jen Ledger
]
No, we're not gonna die tonight
Not gonna die
Not gonna die
Not gonna die
Not gonna die
Not gonna die tonight"
Rise,Rise,Skillet,"All I see is shattered pieces
I can't keep it hidden like a secret
I can't look away
From all this pain in a world we made
Everyday you need
A bulletproof vest
To save yourself from what you could never guess!
Am I safe today?
When I step outside in the wars we wage!

Our future's here and now
Here comes the countdown

Sound it off, this is the call
Rise in revolution
It's our time to change it all
Rise and revolution
Unite and fight to make a better life
Everybody one for all
Sound off, this is the call
Tonight, we rise

Rise
Tonight, we rise
Rise
Tonight, we rise!
Rise, rise

Like a hand grenade
Thrown in a hurricane
Spinning in chaos
Trying to escape the flame
Yesterday is gone
Faster than the blast of a car bomb
And when the scars heal
The pain passes
As hope burns, we rise from the ashes
Darkness fades away
And the light shines on a brave new day

Our future's here and now
Here comes the countdown

Sound it off, this is the call
Rise in revolution
It's our time to change it all
Rise in revolution
Unite and fight to make a better life
Everybody one for all
Sound off, this is the call
Tonight, we rise

Rise
Tonight, we rise
Rise
Tonight, we rise!
Rise, rise

In a world gone mad
In a place so sad
Sometimes it's crazy, crazy
To fight for what you believe
But you can't give up, no
If you wanna keep what you love!
Keep what you love
Keep what you love
Keep what you love
Keep what you love
Never give up, no

Rise
Rise in revolution
Rise
Rise in revolution
Everybody one for all
Sound off, this is the call
Rise
Like we're alive
Tonight, we rise
Make a better life
Tonight, we rise!

Rise, rise, rise and revolution
Rise, rise, rise and revolution
Rise


 911?
 There's a guy here with a gun!
 Ma'am? Ma'am?
 Kids, get under the table! Kids get under the table!!!
 We are getting new reports from all around the globe, showing the highest unemployment rates since the end of World War II. Many are losing their jobs, their homes, and in many cases, their hope
 You are such a failure! What is wrong with you? You can't do anything right! I wish you had never been born!"
Whispers in the Dark,Whispers in the Dark,Skillet,"Despite the lies that you're making
Your love is mine for the taking
My love is just waiting
To turn your tears to roses

Despite the lies that you're making
Your love is mine for the taking
My love is just waiting
To turn your tears to roses
I will be the one that's gonna hold you
I will be the one that you run to
My love is a burning, consuming fire

No, you'll never be alone
When darkness comes
I'll light the night with stars
Hear my whispers in the dark
No, you'll never be alone
When darkness comes
You know I'm never far
Hear my whispers in the dark
Whispers in the dark

You feel so lonely and ragged
You lay here broken and naked
My love is just waiting
To clothe you in crimson roses
I will be the one that's gonna find you
I will be the one that's gonna guide you
My love is a burning, consuming fire

No, you'll never be alone
When darkness comes
I'll light the night with stars
Hear my whispers in the dark
No, you'll never be alone
When darkness comes
You know I'm never far
Hear the whispers in the dark


No, you'll never be alone
When darkness comes
I'll light the night with stars
Hear my whispers in the dark
No, you'll never be alone
When darkness comes
You know I'm never far
Hear the whispers in the dark
Whispers in the dark
Whispers in the dark
Whispers in the dark"
Victorious,Victorious,Skillet,"I hear 'em talk to me
But they're not listening
Their words are kerosene
They don't know who I am
They'd never understand
What it's like to be me
I don't wanna be here
So stuck inside
Tell me how long have I been here?
I'm losing track of time

In all this loneliness and all this emptiness
Been stuck inside this room like a prison sentence
I'm not gonna stay, tell me there's a way
[Chorus: John Cooper & 
Jen Ledger
]
High above it all (
Above it all
)
Victorious, victorious
Far too long I've crawled (
Far too long
)
In hopelessness, I'm over this
Don't give up on me (
Don't give up on me
)
Tell me you believe (
Tell me you believe
)
I can face it all (
Face it all
)
Victorious, victorious

Oh, oh, oh
Oh, oh, oh

Can't change this overnight
Though Heaven knows I've tried
Here I go again
I need a savior now
Someone to break me out
Who's been the place I've been
Don't wanna be forgotten
When I'm dead and gone
I just wanna be the one who
Got up and came back strong
[Chorus: John Cooper & 
Jen Ledger
]
High above it all (
Above it all
)
Victorious, victorious
Far too long I've crawled (
Far too long
)
In hopelessness, I'm over this
Don't give up on me (
Don't give up on me
)
Tell me you believe (
Tell me you believe
)
I can face it all (
Face it all
)
Victorious, victorious

Oh, oh, oh
Oh, oh, oh

Help me 'cause I'm falling
When I can't sleep, but I'm holding on
Can't face this night alone

In all this loneliness and all this emptiness
Been stuck inside this room like a prison sentence
I'm not gonna stay
Tell me there's a way
[Chorus: John Cooper & 
Jen Ledger
]
High above it all (
Above it all
)
Victorious, victorious
Far too long I've crawled (
Far too long
)
In hopelessness, I'm over this
Don't give up on me (
Don't give up on me
)
Tell me you believe (
Tell me you believe
)
I can face it all (
Face it all
)
Victorious, victorious

Oh, oh, oh
Oh, oh, oh
Oh, oh, oh"
Undefeated,Undefeated,Skillet,"I'm undefeated

Hands on my neck, foot on my back
Closing in from every side
Bleeding me dry, I'm fading fast

Left for dead but I will rise up on my own
I could make it alone, I got all that I need to survive
(All that I need to survive)
Through the sweat and the blood, I know what I'm made of
It's the hunger that keeps me alive
(Keeps me alive)
This time, I'm coming like a hurricane, this time

I came to fight for the love of the game, unstoppable
That's why I, I'm undefeated
Off the leash, out of the cage, an animal
That's why I, I'm undefeated
I, I, I know I can beat it
Won't give up 'cause I believe it
Fight for the love of the game, unstoppable
That's why I, I'm undefeated

Here at the edge losing my ground
Stare into the great divide
Pushing me over, pulling me down

Almost dead, but I will rise up on my own
No, I'm never alone and it's all that I need to survive
(All that I need to survive)
Through the sweat and the blood, if I fall, I'll get up
It's the hunger that keeps me alive
(Keeps me alive)
This time, I'm coming like a hurricane, this time

I came to fight for the love of the game, unstoppable
That's why I, I'm undefeated
Off the leash, out of the cage, an animal
That's why I, I'm undefeated
I, I, I know I can beat it
Won't give up 'cause I believe it
Fight for the love of the game, unstoppable
That's why I, I'm undefeated

All the strength that I have, all the life that's left in me
I will give every breath to be everything I can be
I, I, I'm undefeated
I, I, I'm undefeated

I came to fight for the love of the game, unstoppable
That's why I, I'm undefeated
Off the leash, out of the cage, an animal
That's why I, I'm undefeated
I, I, I know I can beat it
Won't give up 'cause I believe it
Fight for the love of the game, unstoppable
That's why I, I'm undefeated
That's why I, I'm undefeated"
Out of Hell,Out of Hell,Skillet,"Oh, oh, oh
Oh, oh
Oh, oh, oh
Oh, oh

I've been down in the dirt, lost for so long
And pushed around, beaten down
Got nothing left to lose, all hope is gone
Got buried deep underground

Oh, can you see me?
Oh, can you hear me?

Can you hear me screaming for you?
I'm afraid I'm gonna die down here
I can't save, I can't save myself
Get me out, get me out of Hell
I'm suffocating waiting for you
Cause the angels don't fly down here
I need you because no one else
Can get me out, get me out of Hell?

I can't trust anyone, all that I got
Is another scarred, broken heart
I've been stabbed in the back, the bleeding won't stop
Just another cut in the dark

Oh, can you see me?
Oh, can you hear me?

Can you hear me screaming for you?
I'm afraid I'm gonna die down here
I can't save, I can't save myself
Get me out, get me out of Hell
I'm suffocating waiting for you
Cause the angels don't fly down here
I need you because no one else
Can get me out, get me out of Hell?

Can you hear me screaming for you?
I'm afraid I'm gonna die down here
I can't save, I can't save myself
Get me out, get me out
Get me out of Hell
I'm suffocating waiting for you
Cause the angels don't fly down here
I need you because no one else
Can get me out, get me out of Hell?

Can you hear me?
Can you see me?
I can feel you now
Get me out, get me out of Hell
Can you hear me screaming for you?
I'm afraid I'm gonna die down here
I need you because no one else
Can get me out, get me out of Hell?"
Anchor,Anchor,Skillet,"Driftin' beneath the horizon
Body is weak, but I’m tryin'
To make it to shore, but I'm fallin’ short
I need You more
Wave after wave, I've been sinkin'
So unto Your promise, I'm clingin'
You say that I'm strong; to You, I belong
Keep holdin' on

You are my anchor
So steady me, steady me now
You are my anchor
You're keepin’ my feet on the ground
In angry oceans, You’ve never broken
Through every wave of the storm
You are my anchor
So steady me, steady me now
Come steady me, steady me now

When I get tired of fightin'
All of the fears I’ve been hidin'
You gave me Your breath and tell me to rest
You never left
I can, I can, I can hear You callin' me by name
Pullin' me out from under my shame
Never be the same, I can face anything
So let it rain

You are my anchor
So steady me, steady me now
You are my anchor
You’re keepin' my feet on the ground
In angry oceans, You've never broken
Through every wave of the storm
You are my anchor
So steady me, steady me now
Come steady me, steady me now

Don't let go
I don't wanna do this alone
Don't let go
I know that I'll drown on my own

You are my anchor
So steady me, steady me now
(I don't wanna do this alone)
Anchor
You're keepin' my feet on the ground
(I know that I'll drown on my own)
In angry oceans, You've never broken
Through every wave of the storm
You are my anchor
So steady me, steady me now
Come steady me, steady me now"
Breaking Free,Breaking Free,Skillet,"This night, nothing like any other night, can’t take anymore
You say I’ll never be nothing, cause us suffering, something to ignore

These things you say
You make me weak but I have changed
No way, I am stronger than before

I will break, breaking free, coming alive
I broke these chains, never be afraid to live my life (never be afraid to live my life)
Break, breaking free, one last time
No matter what they say, I will never change
And I know I can break (break) break (break)
Look out, I’m breaking free

This is who I am
You don’t understand, you never even try just when
I think you’re listening
Drop defence, you stab and twist the knife

These things (these things) you say (you say)
They don’t hold me, I’m not your slave
No way, I’m stronger than before

I will break, breaking free, coming alive
I broke these chains, never be afraid to live my life (never be afraid to live my life)
Break, breaking free, one last time
No matter what they say, I will never change
And I know I can break (break) break (break)
Look out, I’m breaking free

Overcome, chains undone
No fear can hold me down
I know I can rise above it
Overcome, chains undone
No fear can hold me down
I know I can rise above it

I will break, breaking free, coming alive
I broke these chains, never be afraid to live my life (never be afraid to live my life)
Break, breaking free, one last time
No matter what they say, I will never change

And I know I can break (break) break (break)
I will break (I will break)
Look out, I’m breaking free
I’m breaking free
Breaking breaking, this is freedom, this is freedom
I am breaking free"
Lions,Lions,Skillet,"Today we live, today we breathe
Today we know that we are strong when we are weak
Today we trust, we overcome
Take every chain that kept us slaves and throw em' off

We're not waiting for permission
We defy our inhibition
Like our middle name is ""fearless""
Unafraid

If we're gonna fly, we fly like eagles
Arms out wide
If we're gonna fear, we fear no evil
We will rise
By your power, we will go
By your spirit, we are bold
If we're gonna stand, we stand as giants
If we're gonna walk, we walk as lions
We walk as lions

Today is ours, it's always been
Before we face the fight
We know who's gonna win
We live by faith and not by sight
We don't want safe and quiet
We don't wanna run and hide

This is not an intermission
It's our time, not gonna miss it
You've already called us fearless
Unafraid

If we're gonna fly, we fly like eagles
Arms out wide
If we're gonna fear, we fear no evil
We will rise
By your power, we will go
By your spirit, we are bold
If we're gonna stand, we stand as giants
If we're gonna walk, we walk as lions
We walk as lions

Oh, everywhere we go
The battle has been won
We know you've gone before us
So, we're taking hold of faith
With every step we take
We know we'll rise victorious

If we're gonna fly, we fly like eagles
Arms out wide
If we're gonna fear, we fear no evil
We will rise
By your power, we will go
By your spirit, we are bold
If we're gonna stand, we stand as giants
If we're gonna walk, we walk as lions
We walk as lions"
Finish Line,Finish Line,Skillet,"Good evening, my people up in the chandeliers
The wining and dining, the menu is blood, sweat and tears
Everybody ready, raining down confetti
Champions are born right now
Ain't about the glamour, click goes the hammer
Run when you hear that sound

Heroes never die
Gonna make it to the finish line
We know we survive
Even if we crawl to the finish line
I won't believe it, underdog dreamin'
Don't need no cheers, world's gonna see it
Heroes never die
Gonna make it to the finish line

Their dreams just keep dripping out of their golden cups
I'm starting, I'm starving, leftovers ain't enough
Ain't about the royals, they do nothing for ya
All you got is you right now
Who is gonna falter? Who is gonna conquer?
Better never count me out

Heroes never die
Gonna make it to the finish line
We know we survive
Even if we crawl to the finish line
I won't believe it, underdog dreamin'
Don't need no cheers, world's gonna see it
Heroes never die
Gonna make it to the finish line

Gonna make, gonna make
Gonna make it to the finish line
Every day, every day
Gonna make it to the finish line
Gonna make, gonna make
Gonna make it to the finish line
Every day, every day
Gonna make it to the finish line

Heroes never die
Gonna make it to the finish line
We know we survive
Even if we crawl to the finish line
I won't believe it, underdog dreamin'
Don't need no cheers, world's gonna see it
Heroes never die
Gonna make it to the finish line"
